grid_id,week_start,outbreak_binary,grid_lat,grid_lon,outbreak_count,pred_proba,split_name,model_name,display_label,n_grids_in_week,risk_rank,risk_percentile,top1,top5,top10,top20
G005119,2025-01-06,1,39.77961194861075,141.30315392824423,1,0.06782522031444117,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,2579.0,0.5305044618466581,False,False,False,False
G002735,2025-01-13,1,34.85333357833916,136.90140903605854,2,0.5313059474074524,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,250.0,0.9546530686578036,False,True,True,True
G002736,2025-01-13,1,34.92701787656751,136.90140903605854,3,0.27813570305389623,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,950.0,0.827171735567292,False,False,False,True
G002735,2025-01-20,1,34.85333357833916,136.90140903605854,1,0.49070708998979495,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,316.0,0.9426334001092698,False,False,True,True
G005119,2025-01-20,1,39.77961194861075,141.30315392824423,2,0.003923292713700336,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,3110.0,0.43380076488799857,False,False,False,False
G002736,2025-01-27,1,34.92701787656751,136.90140903605854,1,0.32097894975084534,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,1706.0,0.6894918958295393,False,False,False,False
G004430,2025-01-27,1,35.66021456351283,140.58450170094864,2,0.31262363772731977,test_fy2024,geo_season_previous_week_weather_lags_neighbor_past,Baseline + same-grid lags + neighboring past outbreaks,5491,1750.0,0.6814787834638499,False,False,False,False
G005084,2025-10-20,1,42.5515976058003,141.21332239983226,1,0.0924591672190812,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,78.0,0.9859770533600437,False,True,True,True
G005272,2025-10-27,1,42.88160061917065,141.48281698506813,1,0.017939971111158474,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,4036.0,0.26516117282826446,False,False,False,False
G003462,2025-11-03,1,38.032143327565045,139.5065233600052,2,0.3078264308119093,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1898.0,0.6545255873247131,False,False,False,False
G001057,2025-11-17,1,32.3850981945871,131.51151733134145,1,0.6777434291786226,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,64.0,0.988526680021854,False,True,True,True
G001745,2025-12-01,1,35.4409533592948,133.39797942799242,1,0.6060781142749204,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1823.0,0.6681843015844109,False,False,False,False
G001942,2025-12-15,1,35.14767384591075,134.02680012687608,1,0.6825533470101883,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1175.0,0.7861955927881988,False,False,False,False
G002129,2025-12-15,1,34.92701787656751,134.65562082575977,1,0.7137273846365404,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,907.0,0.8350027317428519,False,False,False,True
G002364,2025-12-22,1,35.00063606189606,135.55393610987923,1,0.5555646196429221,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1432.0,0.7393917319249681,False,False,False,False
G004117,2025-12-22,1,36.459023993268765,140.31500711571272,1,0.5418307075116114,test_fy2025,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1630.0,0.7033327262793663,False,False,False,False
